time,open,high,low,close
1751547600,1.17381,1.17653,1.17337,1.17646
1751549400,1.17646,1.17794,1.1757,1.17745
1751551200,1.17745,1.17898,1.17523,1.17619
1751553000,1.17619,1.17666,1.17514,1.17534
1751554800,1.17534,1.1765,1.17495,1.17639
1751556600,1.17639,1.17661,1.1756,1.17571
1751558400,1.17571,1.17583,1.17448,1.1746
1751560200,1.1746,1.17523,1.17403,1.17521
1751562000,1.17521,1.17577,1.17502,1.17576
1751563800,1.17576,1.17582,1.17511,1.17539
1751565600,1.17539,1.17565,1.175,1.17517
1751567400,1.17517,1.17542,1.17482,1.17492
1751569200,1.17492,1.17504,1.17445,1.17498
